SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
swatan1,Tersina_viridis,Swallow_Tanager
swathr,Catharus_ustulatus,Swainson's_Thrush
swawar,Limnothlypis_swainsonii,Swainson's_Warbler
swbhum1,Ensifera_ensifera,Sword-billed_Hummingbird
swfgle,Philydor_fuscipenne,Slaty-winged_Foliage-gleaner
swspet,Oceanodroma_monorhis,Swinhoe's_Storm-Petrel
swtcot1,Phibalura_flavirostris,Swallow-tailed_Cotinga
swtgul1,Creagrus_furcatus,Swallow-tailed_Gull
swthum1,Eupetomena_macroura,Swallow-tailed_Hummingbird
swtkit,Elanoides_forficatus,Swallow-tailed_Kite
swtman1,Chiroxiphia_caudata,Swallow-tailed_Manakin
swtnig1,Uropsalis_segmentata,Swallow-tailed_Nightjar
swwpuf1,Chelidoptera_tenebrosa,Swallow-winged_Puffbird
swwqua1,Odontophorus_capueira,Spot-winged_Wood-Quail
tabfly1,Myiobius_villosus,Tawny-breasted_Flycatcher
tabher1,Phaethornis_syrmatophorus,Tawny-bellied_Hermit
tabowl1,Pulsatrix_koeniswaldiana,Tawny-browed_Owl
tabsco1,Megascops_watsonii,Tawny-bellied_Screech-Owl
tabsee1,Sporophila_hypoxantha,Tawny-bellied_Seedeater
tabtan1,Chlorospingus_tacarcunae,Tacarcuna_Chlorospingus
tabtin1,Nothocercus_julius,Tawny-breasted_Tinamou
taceup1,Euphonia_anneae,Tawny-capped_Euphonia
tacfly1,Aphanotriccus_capitalis,Tawny-chested_Flycatcher
tacgre1,Tunchiornis_ochraceiceps,Tawny-crowned_Greenlet
tacgrt1,Muscisaxicola_griseus,Taczanowski's_Ground-Tyrant
tacnig1,Antrostomus_salvini,Tawny-collared_Nightjar
tactan1,Tachyphonus_delatrii,Tawny-crested_Tanager
tactap1,Scytalopus_panamensis,Tacarcuna_Tapaculo
tactin1,Nothoprocta_taczanowskii,Taczanowski's_Tinamou
tafgna1,Microbates_cinereiventris,Tawny-faced_Gnatwren
tafqua1,Rhynchortyx_cinctus,Tawny-faced_Quail
tahkin1,Todiramphus_veneratus,Society_Kingfisher
tahmon2,Pomarea_nigra,Tahiti_Monarch
tahpet1,Pseudobulweria_rostrata,Tahiti_Petrel
tahrew1,Acrocephalus_caffer,Tahiti_Reed-Warbler
tahswa2,Alopochelidon_fucata,Tawny-headed_Swallow
taibeg1,Anser_fabalis,Taiga_Bean-Goose
taifly1,Ficedula_albicilla,Taiga_Flycatcher
tamcon1,Conirostrum_tamarugense,Tamarugo_Conebill
tamcro,Corvus_imparatus,Tamaulipas_Crow
tancoc1,Cacatua_goffiniana,Tanimbar_Corella
tanfin1,Oreothraupis_arremonops,Tanager_Finch
tapowl1,Glaucidium_sanchezi,Tamaulipas_Pygmy-Owl
tartyr1,Phyllomyias_uropygialis,Tawny-rumped_Tyrannulet
tasbla,Agelaius_humeralis,Tawny-shouldered_Blackbird
tatdot1,Oreopholus_ruficollis,Tawny-throated_Dotterel
tatlea1,Sclerurus_mexicanus,Tawny-throated_Leaftosser
tatspi1,Leptasthenura_yanacensis,Tawny_Tit-Spinetail
tattin1,Crypturellus_tataupa,Tataupa_Tinamou
tattou1,Selenidera_nattereri,Tawny-tufted_Toucanet
tawant1,Grallaria_quitensis,Tawny_Antpitta
tawpic1,Picumnus_fulvescens,Tawny_Piculet
tawqua1,Odontophorus_dialeucos,Tacarcuna_Wood-Quail
tawwoo1,Dendrocincla_anabatina,Tawny-winged_Woodcreeper
tbsfin1,Sporophila_funerea,Thick-billed_Seed-Finch
